Item	Name	InUse	Type	primary_key	NotNull	Unique	Default	FK_Table	FK_Column	onCopy	Comment
Table	BankEntity	FALSE		FALSE	FALSE	FALSE				FALSE	Данные юр. лица БАНК - резидент РФ
	id	TRUE	serial	FALSE	TRUE	TRUE				FALSE	Локальный порядковый Id. PK / Индексом не является. Не может использоваться в качестве пары в PK/FK Relation
	localId	TRUE	uuid	TRUE	TRUE	TRUE	gen_random_uuid()			TRUE	ID локального кэша карточки банка-юридического лица.
	entityId	TRUE	uuid	FALSE	FALSE	FALSE				FALSE	Глобальный ID карточки банка-юридического лица.
	bic	TRUE	varchar(32)	FALSE	TRUE	TRUE				TRUE	БИК БАНКА
	centralBankAffiliation	TRUE	varchar(255)	FALSE	FALSE	FALSE				TRUE	Принадлежность к филиалу ЦБ РФ
	cbrfAccount	TRUE	varchar(32)	FALSE	FALSE	FALSE				TRUE	Номер корреспондентского счета в ЦБ РФ. Резидент - российское юр. лицо
	cbrfLicense	TRUE	varchar(32)	FALSE	FALSE	FALSE				TRUE	Номер лицензии ЦБ РФ
	cbrfRegistrationDate	TRUE	date	FALSE	FALSE	FALSE				TRUE	Дата регистрации. Формат  YYYY-MM-DD (ISO 8601)
	ruLegalForm	TRUE	varchar(32)	FALSE	FALSE	FALSE				TRUE	Код организационно-правовой формы. [ОКОПФ](https://classifikators.ru/Okopf)
	ruFullName	TRUE	varchar(1023)	FALSE	TRUE	FALSE				TRUE	Полное наименование юридического лица без указания формы собственности
	ruShortName	TRUE	varchar(80)	FALSE	FALSE	FALSE				TRUE	Краткое наименование юридического лица без указания формы собственности
	residence	TRUE	varchar(8)	FALSE	FALSE	FALSE	'RUS'			TRUE	Код страны налоговой принадлежности / резидентство - краткое наименование по справочнику [ОКСМ](https://classifikators.ru/oksm). Допускается только латиница, только трехбуквенный код (Alfa-3), прописные буквы.
	inn	TRUE	varchar(32)	FALSE	FALSE	FALSE				TRUE	Unique Taxation Number (code) - индивидуальный номер налогоплательщика. Резидент - российское юр. лицо
	cpp	TRUE	varchar(32)	FALSE	FALSE	FALSE				TRUE	Код причины постановки на учет (специфично для РФ). Как правило указывается в паре после указания ИНН
	ogrn	TRUE	varchar(50)	FALSE	FALSE	FALSE				TRUE	Общий государственный регистрационный номер юридического лица (для резидентов РФ)
	city	TRUE	varchar(80)	FALSE	FALSE	FALSE				TRUE	Город (самостоятельная позиция, выделенная из полного адреса)
	legalAddress	TRUE	varchar(255)	FALSE	TRUE	FALSE				TRUE	Адрес юр. лица в формате строки, валидной в контексте требований АСУХД ЕОГ
	actualAddress	TRUE	varchar(255)	FALSE	FALSE	FALSE				TRUE	Адрес юр. лица в формате строки, валидной в контексте требований АСУХД ЕОГ
	enFullName	TRUE	varchar(255)	FALSE	FALSE	FALSE				TRUE	(EN) Полное наименование банка на английском языке
	swift_code	TRUE	varchar(32)	FALSE	FALSE	FALSE				TRUE	Уникальный SWIFT-код в системе международных межбанковских расчетов
	OktmoIssues	TRUE	text[]	FALSE	FALSE	FALSE				TRUE	Код территории муниципального образования. До 01.01.2014 - ОКАТО [ОКТМО](https://classifikators.ru/Oktmo)
	OkvedIssues	TRUE	text[]	FALSE	FALSE	FALSE				TRUE	Код вида экономической деятельности. По [ОКВЭД 2](https://classifikators.ru/Okved)
	parentBic	TRUE	varchar(32)	FALSE	FALSE	FALSE				TRUE	БИК родительской банковской организации
	ruRatingAgency	TRUE	varchar(255)	FALSE	FALSE	FALSE				TRUE	РФ - Рейтинговое агентство
	ruRatingLevel	TRUE	varchar(32)	FALSE	FALSE	FALSE				TRUE	РФ - Текущий рейтинг
